Species,Diet.Inv,Diet.Seed,Diet.PlantO,Diet_vertebrates,Group,Activity.Nocturnal,BodyMass,Gen_Length,Migr,RL_Status_FI_2019,Habitat_Specializ,DietSpecializ,MainHabitatOriginal,MainHabitat6,MeanLatitude,WIlmanNameForPhylo,Order,Family
Pteromys volans,10,30,30,0,mammal,1,143.75,3.792113048,NA,1,1,0.733333333,NA,NA,62.13287141,Pteromys volans,RODENTIA,Sciuridae
Odocoileus virginianus,0,10,90,0,mammal,1,55508.56,7.435296804,NA,0,0.596765499,0.977777778,NA,NA,61.0713545,Odocoileus virginianus,ARTIODACTYLA,Cervidae
Lutra lutra,30,0,0,40,mammal,1,8785.14,7.597156393,NA,0,0.657142857,0.733333333,NA,NA,63.15800091,Lutra lutra,CARNIVORA,Mustelidae
Luscinia svecica,60,10,0,10,bird,0,17.23,4.2,L,0,0.742857143,0.844444444,SH,other,64.04314265,Luscinia svecica,PASSERIFORMES,Muscicapidae
Tringa erythropus,80,0,0,10,bird,0,158,5.6,L,0,0.757142857,0.933333333,MM,other,62.14533008,Tringa erythropus,CHARADRIIFORMES,Scolopacidae
Corvus corone,30,10,0,40,bird,0,570,6.8,R,0,0.771428571,0.644444444,HU,other,63.72265446,Corvus corone,PASSERIFORMES,Corvidae
Tringa nebularia,80,0,0,10,bird,0,187,6.3,L,0,0.8,0.933333333,MM,other,59.05746153,Tringa nebularia,CHARADRIIFORMES,Scolopacidae
Canis lupus,0,0,0,100,mammal,1,32183.33,7.899333333,NA,1,0.806015038,1,NA,NA,62.89615909,Canis lupus,CARNIVORA,Canidae
Pandion haliaetus,0,0,0,0,bird,0,1483.2,11.6,L,0,0.814285714,1,WE,water,58.79890286,Pandion haliaetus,ACCIPITRIFORMES,Pandionidae
Actitis hypoleucos,50,0,10,20,bird,0,48,6.8,L,0,0.826666667,0.8,OL,water,58.10806868,Actitis hypoleucos,CHARADRIIFORMES,Scolopacidae
Tringa ochropus,70,0,10,0,bird,0,71.4,5.6,L,0,0.826666667,0.911111111,FO,mixedForest,55.43552499,Tringa ochropus,CHARADRIIFORMES,Scolopacidae
Numenius phaeopus,60,10,10,0,bird,0,364.57,9.1,L,0,0.828571429,0.844444444,MM,other,60.66669557,Numenius phaeopus,CHARADRIIFORMES,Scolopacidae
Numenius arquata,40,30,0,0,bird,0,802.99,10.4,S,0,0.835714286,0.8,FA,agric,55.75825115,Numenius arquata,CHARADRIIFORMES,Scolopacidae
Mustela erminea,10,0,0,80,mammal,1,119.38,2.955555776,NA,0,0.842857143,0.866666667,NA,NA,62.719367,Mustela erminea,CARNIVORA,Mustelidae
Alauda arvensis,40,40,20,0,bird,0,37.31,4.3,S,0,0.854945055,0.822222222,FA,agric,53.95315573,Alauda arvensis,PASSERIFORMES,Alaudidae
Erithacus rubecula,40,10,0,10,bird,0,17.7,6,S,0,0.857142857,0.644444444,FO,mixedForest,55.64171297,Erithacus rubecula,PASSERIFORMES,Muscicapidae
Gallinago gallinago,80,10,10,0,bird,0,112.94,4.8,S,0,0.857142857,0.933333333,WE,water,57.95238713,Gallinago gallinago,CHARADRIIFORMES,Scolopacidae
Mustela nivalis,0,0,0,100,mammal,1,103.88,3.271764247,NA,0,0.857142857,1,NA,NA,62.81158957,Mustela nivalis,CARNIVORA,Mustelidae
Calidris pugnax,50,10,20,10,bird,0,131.68,5.3,L,1,0.869047619,0.755555556,MM,other,63.46089664,Philomachus pugnax,CHARADRIIFORMES,Scolopacidae
Jynx torquilla,100,0,0,0,bird,0,34.96,3.5,L,0,0.869047619,1,FO,mixedForest,55.935413,Jynx torquilla,PICIFORMES,Picidae
Hirundo rustica,80,10,0,0,bird,0,17.91,3.9,L,1,0.871428571,0.933333333,FA,agric,54.46451797,Hirundo rustica,PASSERIFORMES,Hirundinidae
Phoenicurus phoenicurus,80,0,0,0,bird,0,14.59,4.1,L,0,0.871428571,0.955555556,CF,coniferous,57.69398476,Phoenicurus phoenicurus,PASSERIFORMES,Muscicapidae
Phylloscopus collybita,80,10,0,0,bird,0,8.3,3.6,L,0,0.871428571,0.933333333,FO,mixedForest,54.40534436,Phylloscopus collybita,PASSERIFORMES,Sylviidae
Vulpes vulpes,20,0,0,70,mammal,1,5476.17,5.768211507,NA,0,0.871428571,0.911111111,NA,NA,63.19039002,Vulpes vulpes,CARNIVORA,Canidae
Turdus iliacus,40,20,10,0,bird,0,61.2,6.1,S,0,0.876923077,0.777777778,FO,mixedForest,56.44037384,Turdus iliacus,PASSERIFORMES,Turdidae
Anthus pratensis,80,20,0,0,bird,0,18.4,3.8,S,0,0.878195489,0.955555556,MM,other,59.47276289,Anthus pratensis,PASSERIFORMES,Motacillidae
Columba oenas,20,40,40,0,bird,0,290.79,5.3,S,0,0.878195489,0.822222222,FO,mixedForest,53.63511887,Columba oenas,COLUMBIFORMES,Columbidae
Lymnocryptes minimus,80,20,0,0,bird,0,50.07,5.4,S,0,0.883116883,0.955555556,MM,other,62.19196222,Lymnocryptes minimus,CHARADRIIFORMES,Scolopacidae
Pluvialis apricaria,70,10,10,0,bird,0,214,5.2,S,0,0.883116883,0.866666667,MM,other,60.88029986,Pluvialis apricaria,CHARADRIIFORMES,Charadriidae
Seicercus trochiloides,80,10,0,0,bird,0,8.05,3.6,L,0,0.883116883,0.933333333,FO,mixedForest,55.47394215,Phylloscopus trochiloides,PASSERIFORMES,Sylviidae
Accipiter nisus,0,0,0,100,bird,0,220.79,7.2,S,0,0.885714286,1,FO,mixedForest,55.90838888,Accipiter nisus,ACCIPITRIFORMES,Accipitridae
Columba palumbus,0,30,40,0,bird,0,490,5.7,S,0,0.885714286,0.8,FO,mixedForest,54.66291761,Columba palumbus,COLUMBIFORMES,Columbidae
Lanius excubitor,10,0,0,70,bird,0,63.41,4,S,0,0.885714286,0.777777778,MM,other,61.0964696,Lanius excubitor,PASSERIFORMES,Laniidae
Motacilla alba,100,0,0,0,bird,0,23.93,4.2,S,0,0.885714286,1,HU,other,55.1792908,Motacilla alba,PASSERIFORMES,Motacillidae
Pica pica,20,10,0,40,bird,0,217.48,7.1,R,0,0.885714286,0.533333333,HU,other,53.8347117,Pica pica,PASSERIFORMES,Corvidae
Saxicola rubetra,70,10,0,0,bird,0,16.6,3.3,L,1,0.885714286,0.911111111,FA,agric,56.01173335,Saxicola rubetra,PASSERIFORMES,Muscicapidae
Sturnus vulgaris,20,20,0,10,bird,0,77.14,4.6,S,0,0.885714286,0.6,FA,agric,53.20385111,Sturnus vulgaris,PASSERIFORMES,Sturnidae
Capreolus capreolus,0,0,100,0,mammal,1,22500,6.398333333,NA,0,0.885714286,1,NA,NA,61.50307287,Capreolus capreolus,ARTIODACTYLA,Cervidae
Mustela putorius,10,0,0,70,mammal,1,915.37,4.52729968,NA,1,0.885714286,0.8,NA,NA,62.0681439,Mustela putorius,CARNIVORA,Mustelidae
Castor sp.,0,0,100,0,mammal,1,20410,8.153,NA,0,0.892857143,1,NA,NA,61.31566229,Castor fiber,RODENTIA,Castoridae
Apus apus,100,0,0,0,bird,0,37.6,11.2,L,1,0.894505495,1,HU,other,55.6033082,Apus apus,CAPRIMULGIFORMES,Apodidae
Fringilla coelebs,60,20,20,0,bird,0,23.81,5.7,S,0,0.897142857,0.866666667,FO,mixedForest,56.44762632,Fringilla coelebs,PASSERIFORMES,Fringillidae
Turdus merula,50,20,0,0,bird,0,102.73,5.2,S,0,0.897142857,0.8,FO,mixedForest,54.39974231,Turdus merula,PASSERIFORMES,Turdidae
Turdus philomelos,40,30,0,0,bird,0,67.74,5.2,S,0,0.897142857,0.8,FO,mixedForest,56.40790347,Turdus philomelos,PASSERIFORMES,Turdidae
Gulo gulo,0,0,0,20,mammal,1,17012.56,7.18438863,NA,1,0.898214286,0.733333333,NA,NA,64.03833363,Gulo gulo,CARNIVORA,Mustelidae
Poecile montanus,60,20,0,0,bird,0,11.1,4.6,R,1,0.9,0.866666667,FO,mixedForest,55.62707238,Parus montanus,PASSERIFORMES,Paridae
Prunella modularis,50,50,0,0,bird,0,20.24,4.6,S,0,0.9,0.888888889,FO,mixedForest,55.34242306,Prunella modularis,PASSERIFORMES,Prunellidae
Schoeniclus schoeniclus,30,50,20,0,bird,0,18.4,3.6,S,1,0.9,0.844444444,WE,water,58.66789046,Emberiza schoeniclus,PASSERIFORMES,Emberizidae
Tringa totanus,80,0,0,10,bird,0,129,6.2,S,0,0.9,0.933333333,WE,water,59.95161,Tringa totanus,CHARADRIIFORMES,Scolopacidae
Calidris falcinellus,80,20,0,0,bird,0,37.1,4.8,L,0,0.903896104,0.955555556,MM,other,63.22578802,Limicola falcinellus,CHARADRIIFORMES,Scolopacidae
Turdus pilaris,70,0,0,0,bird,0,106,5.3,S,0,0.903896104,0.933333333,FA,agric,55.72206231,Turdus pilaris,PASSERIFORMES,Turdidae
Buteo lagopus,10,0,0,80,bird,0,949.76,10,S,1,0.911111111,0.933333333,FO,mixedForest,63.80653668,Buteo lagopus,ACCIPITRIFORMES,Accipitridae
Grus grus,10,20,40,20,bird,0,5499.99,13.4,S,0,0.911111111,0.644444444,WE,water,56.64505649,Grus grus,GRUIFORMES,Gruidae
Parus major,40,20,0,0,bird,0,16.25,4.3,R,0,0.911111111,0.711111111,DF,deciduous,55.95358639,Parus major,PASSERIFORMES,Paridae
Turdus viscivorus,40,20,20,0,bird,0,117.37,3.7,S,0,0.911111111,0.733333333,CF,coniferous,56.60673242,Turdus viscivorus,PASSERIFORMES,Turdidae
Corvus monedula,30,30,0,10,bird,0,246,7.4,R,0,0.914285714,0.733333333,FA,agric,53.41945114,Corvus monedula,PASSERIFORMES,Corvidae
Curruca curruca,60,10,0,0,bird,0,11.44,4,L,0,0.914285714,0.844444444,FO,mixedForest,54.45659437,Sylvia curruca,PASSERIFORMES,Sylviidae
Emberiza citrinella,30,60,10,0,bird,0,29.7,3.7,R,0,0.914285714,0.888888889,FA,agric,53.97282453,Emberiza citrinella,PASSERIFORMES,Emberizidae
Erythrina erythrina,10,30,30,0,bird,0,23.97,4.1,L,0,0.914285714,0.688888889,WE,water,54.24679009,Carpodacus erythrinus,PASSERIFORMES,Fringillidae
Motacilla flava,70,10,10,0,bird,0,17.68,4.7,L,0,0.914285714,0.866666667,MM,other,60.2318803,Motacilla flava,PASSERIFORMES,Motacillidae
Meles meles,20,10,10,40,mammal,0,13000,5.921227671,NA,0,0.914285714,0.533333333,NA,NA,62.68204073,Meles meles,CARNIVORA,Mustelidae
Oenanthe oenanthe,70,10,0,0,bird,0,25.39,6.1,L,0,0.925,0.911111111,MM,other,58.67164292,Oenanthe oenanthe,PASSERIFORMES,Muscicapidae
Sylvia atricapilla,50,10,0,0,bird,0,16.7,4,L,0,0.925,0.822222222,DF,deciduous,53.74069551,Sylvia atricapilla,PASSERIFORMES,Sylviidae
Chloris chloris,0,100,0,0,bird,0,26,4.2,R,1,0.928571429,1,HU,other,54.15548404,Carduelis chloris,PASSERIFORMES,Fringillidae
Curruca communis,60,10,0,0,bird,0,15.1,4,L,0,0.928571429,0.888888889,SH,other,53.3017314,Sylvia communis,PASSERIFORMES,Sylviidae
Fringilla montifringilla,20,40,0,0,bird,0,23.19,5.7,S,0,0.928571429,0.822222222,FO,mixedForest,59.91676645,Fringilla montifringilla,PASSERIFORMES,Fringillidae
Pyrrhula pyrrhula,10,30,50,0,bird,0,24.26,4.8,R,0,0.928571429,0.822222222,CF,coniferous,55.96842407,Pyrrhula pyrrhula,PASSERIFORMES,Fringillidae
Vanellus vanellus,100,0,0,0,bird,0,218.37,9,S,0,0.928571429,1,FA,agric,54.52080169,Vanellus vanellus,CHARADRIIFORMES,Charadriidae
Lepus europaeus,0,0,100,0,mammal,1,3740,2,NA,0,0.928571429,1,NA,NA,61.43076373,Lepus europaeus,LAGOMORPHA,Leporidae
Lepus timidus,0,0,100,0,mammal,1,3048,2.869251178,NA,0,0.928571429,1,NA,NA,63.28351638,Lepus timidus,LAGOMORPHA,Leporidae
Luscinia luscinia,70,20,0,0,bird,0,23.8,4.2,L,0,0.93015873,0.911111111,DF,deciduous,53.56686633,Luscinia luscinia,PASSERIFORMES,Muscicapidae
Lyrurus tetrix,10,10,70,0,bird,0,1068.66,6.4,R,0,0.935064935,0.866666667,FO,mixedForest,56.41428857,Tetrao tetrix,GALLIFORMES,Phasianidae
Asio flammeus,0,0,0,100,bird,1,322.61,7.2,S,0,0.93877551,1,MM,other,61.07376616,Asio flammeus,STRIGIFORMES,Strigidae
Cyanistes caeruleus,50,20,0,0,bird,0,13.3,4.4,R,0,0.93877551,0.8,DF,deciduous,54.21446509,Parus caeruleus,PASSERIFORMES,Paridae
Neovison vison,10,0,0,70,mammal,1,1150,4.03739726,NA,0,0.93877551,0.8,NA,NA,63.36759722,Neovison vison,CARNIVORA,Mustelidae
Acrocephalus schoenobaenus,70,10,10,0,bird,0,11.83,4.4,L,0,0.942857143,0.866666667,WE,water,56.20167746,Acrocephalus schoenobaenus,PASSERIFORMES,Sylviidae
Muscicapa striata,80,0,0,0,bird,0,15.9,2.9,L,0,0.942857143,0.955555556,FO,mixedForest,56.36536582,Muscicapa striata,PASSERIFORMES,Muscicapidae
Troglodytes troglodytes,60,10,0,10,bird,0,9.74,3.5,S,0,0.942857143,0.777777778,FO,mixedForest,54.7503114,Troglodytes troglodytes,PASSERIFORMES,Troglodytidae
Lynx lynx,0,0,0,100,mammal,1,17950,9.145861415,NA,0,0.942857143,1,NA,NA,62.41643669,Lynx lynx,CARNIVORA,Felidae
Bombycilla garrulus,30,0,20,0,bird,0,54.41,4.6,S,0,0.952380952,0.844444444,CF,coniferous,59.70855493,Bombycilla garrulus,PASSERIFORMES,Bombycillidae
Dendrocopos major,50,30,0,10,bird,0,74.94,5.2,R,0,0.952380952,0.822222222,FO,mixedForest,55.65936146,Dendrocopos major,PICIFORMES,Picidae
Ficedula hypoleuca,100,0,0,0,bird,0,13.79,4.2,L,0,0.952380952,1,FO,mixedForest,56.06913365,Ficedula hypoleuca,PASSERIFORMES,Muscicapidae
Lagopus lagopus,0,0,90,0,bird,0,566.86,4.2,R,1,0.952380952,0.977777778,MM,other,62.09720537,Lagopus lagopus,GALLIFORMES,Phasianidae
Lophophanes cristatus,60,20,0,0,bird,0,11.04,4,R,1,0.952380952,0.866666667,CF,coniferous,54.66545459,Parus cristatus,PASSERIFORMES,Paridae
Alces alces,0,0,100,0,mammal,1,356998.16,10.1966537,NA,0,0.952941176,1,NA,NA,63.23128086,Alces alces,ARTIODACTYLA,Cervidae
Nyctereutes procyonoides,20,10,0,40,mammal,1,4040,5.731333333,NA,0,0.953571429,0.688888889,NA,NA,61.58366935,Nyctereutes procyonoides,CARNIVORA,Canidae
Acanthis flammea,30,40,30,0,bird,0,13,4.5,S,0,0.955102041,0.8,FO,mixedForest,59.80116264,Carduelis flammea,PASSERIFORMES,Fringillidae
Periparus ater,40,20,20,0,bird,0,9.2,4.1,R,0,0.955102041,0.711111111,CF,coniferous,53.77290283,Parus ater,PASSERIFORMES,Paridae
Phylloscopus trochilus,80,10,0,0,bird,0,8.7,3.5,L,0,0.955102041,0.933333333,DF,deciduous,56.99735626,Phylloscopus trochilus,PASSERIFORMES,Sylviidae
Pinicola enucleator,20,30,30,0,bird,0,56.4,4.2,R,0,0.955102041,0.711111111,CF,coniferous,62.72616933,Pinicola enucleator,PASSERIFORMES,Fringillidae
Spinus spinus,10,30,30,0,bird,0,13.24,4.1,S,0,0.955102041,0.733333333,CF,coniferous,56.48030979,Carduelis spinus,PASSERIFORMES,Fringillidae
Sylvia borin,50,0,0,0,bird,0,18.2,4,L,0,0.955102041,0.866666667,DF,deciduous,54.41668945,Sylvia borin,PASSERIFORMES,Sylviidae
Sus scrofa,10,10,60,0,mammal,1,96118.09,7.27690411,NA,0,0.955102041,0.777777778,NA,NA,61.02430364,Sus scrofa,ARTIODACTYLA,Suidae
Anthus trivialis,60,10,10,0,bird,0,23.33,3.6,L,0,0.957142857,0.777777778,CF,coniferous,56.42094532,Anthus trivialis,PASSERIFORMES,Motacillidae
Cuculus canorus,90,0,0,0,bird,0,111.36,7,L,0,0.957142857,0.977777778,FO,mixedForest,56.69423649,Cuculus canorus,CUCULIFORMES,Cuculidae
Schoeniclus rusticus,30,70,0,0,bird,0,20.54,3.6,L,0,0.957142857,0.933333333,FO,mixedForest,58.37702034,Emberiza rustica,PASSERIFORMES,Emberizidae
Rangifer tarandus fennicus,0,0,100,0,mammal,0,86033.98,5,NA,0,0.957142857,1,NA,NA,63.0604748,Rangifer tarandus,ARTIODACTYLA,Cervidae
Scolopax rusticola,70,10,10,0,bird,0,308.31,6.3,S,0,0.965714286,0.866666667,FO,mixedForest,54.32892132,Scolopax rusticola,CHARADRIIFORMES,Scolopacidae
Phasianus colchicus,10,30,30,0,bird,0,1120.31,5,R,0,0.971428571,0.733333333,FA,agric,53.54320941,Phasianus colchicus,GALLIFORMES,Phasianidae
Schoeniclus pusillus,30,70,0,0,bird,0,14.57,3.6,L,0,0.971428571,0.933333333,MM,other,58.67655348,Emberiza pusilla,PASSERIFORMES,Emberizidae
Tringa glareola,100,0,0,0,bird,0,62.05,5.2,L,0,0.971428571,1,MM,other,59.92432076,Tringa glareola,CHARADRIIFORMES,Scolopacidae
Sciurus vulgaris,0,50,30,0,mammal,0,333,4.4185,NA,0,0.971428571,0.844444444,NA,NA,62.92089701,Sciurus vulgaris,RODENTIA,Sciuridae
Ficedula parva,100,0,0,0,bird,0,10.8,3.9,L,0,0.977142857,1,FO,mixedForest,56.53714814,Ficedula parva,PASSERIFORMES,Muscicapidae
Loxia curvirostra,20,30,50,0,bird,0,38.29,3.4,R,0,0.977142857,0.844444444,CF,coniferous,56.28382482,Loxia curvirostra,PASSERIFORMES,Fringillidae
Regulus regulus,100,0,0,0,bird,0,5.54,2.7,R,0,0.977142857,1,CF,coniferous,55.26072105,Regulus regulus,PASSERIFORMES,Reguliidae
Corvus corax,10,10,10,30,bird,0,927.97,7.9,R,0,0.978571429,0.355555556,FO,mixedForest,56.94486242,Corvus corax,PASSERIFORMES,Corvidae
Garrulus glandarius,40,20,0,10,bird,0,159.46,7.5,R,0,0.978571429,0.777777778,CF,coniferous,54.16703795,Garrulus glandarius,PASSERIFORMES,Corvidae
Poecile cinctus,60,30,0,0,bird,0,11.4,4.4,R,0,0.978571429,0.888888889,CF,coniferous,60.67768812,Parus cinctus,PASSERIFORMES,Paridae
Certhia familiaris,60,40,0,0,bird,0,9,3.4,R,0,0.985714286,0.911111111,FO,mixedForest,55.63473455,Certhia familiaris,PASSERIFORMES,Certhiidae
Dryocopus martius,100,0,0,0,bird,0,321,5.8,R,0,0.985714286,1,FO,mixedForest,55.43975513,Dryocopus martius,PICIFORMES,Picidae
Loxia leucoptera,20,30,30,0,bird,0,28.69,3.4,R,0,0.985714286,0.711111111,CF,coniferous,60.81244975,Loxia leucoptera,PASSERIFORMES,Fringillidae
Tetrao urogallus,0,0,90,0,bird,0,2716.61,6.4,R,0,0.985714286,0.977777778,CF,coniferous,57.30012744,Tetrao urogallus,GALLIFORMES,Phasianidae
Vulpes lagopus,10,0,0,70,mammal,0,3584.37,5.126540046,NA,1,0.985714286,0.866666667,NA,NA,63.39164854,Vulpes lagopus,CARNIVORA,Canidae
Loxia pytyopsittacus,10,60,30,0,bird,0,53,3.4,R,0,0.99047619,0.888888889,CF,coniferous,57.80915827,Loxia pytyopsittacus,PASSERIFORMES,Fringillidae
Perisoreus infaustus,30,20,0,10,bird,0,84.4,7.1,R,0,0.99047619,0.688888889,CF,coniferous,61.18340414,Perisoreus infaustus,PASSERIFORMES,Corvidae
Picoides tridactylus,80,0,0,0,bird,0,65.49,4.8,R,0,0.99047619,0.955555556,CF,coniferous,61.38595911,Picoides tridactylus,PICIFORMES,Picidae
Rhadina sibilatrix,80,0,0,0,bird,0,9.2,3.6,L,0,0.99047619,0.955555556,DF,deciduous,54.74318047,Phylloscopus sibilatrix,PASSERIFORMES,Sylviidae
Tetrastes bonasia,0,10,70,0,bird,0,429,4.4,R,1,0.99047619,0.911111111,CF,coniferous,55.47628576,Bonasa bonasia,GALLIFORMES,Phasianidae
